"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-27 08:00:00" 716 3478 0 3611 12.8 20.2 0 0 997.7 153.158 1.00106921085886 0.919399302646075 658.99375140469 659.264448717457 0.224469803432019
"2023-03-27 09:00:00" 727 3503 0 3615 13.4 19.4 0 0 998.2 154.423 0.992868667210981 0.922899666475302 666.16330364517 658.150335535334 0.22594822503766
"2023-03-27 10:00:00" 724 3330 0 3610 14.1 23.6 0 0 998.8 154.405 0.992984412400643 0.927117698759032 666.524118489815 656.700616599417 0.227889317725746
"2023-03-27 11:00:00" 680 3449 0 3611 14.2 24.9 0 0 999.4 153.645 0.99789617753081 0.931355009190748 631.989010445022 654.631973896461 0.230693594761009
"2023-03-27 12:00:00" 717 3425 0 3619 13.9 25.7 0 0 999.6 154.079 0.995085366576375 0.932771745251356 665.510447577816 656.949816533751 0.227554247171992
"2023-03-27 13:00:00" 718 3564 0 3616 13.4 24.4 0 0 1000 154.072 0.995130576592251 0.935611685879542 668.498061840873 658.017473390132 0.226125300981046
"2023-03-27 14:00:00" 716 3451 0 3620 13.2 24.6 0 0 1000.2 153.684 0.997642943941603 0.937034897008522 669.33559731096 659.060672089405 0.22473935627806
"2023-03-27 15:00:00" 760 3521 0 3612 13 25 0 0 1000.3 153.696 0.997565051769215 0.937747314214495 710.952600518627 660.147646135544 0.223305929444202
"2023-03-27 16:00:00" 660 3467 0 3610 14 25.3 0 0 1000.5 153.969 0.99579628494516 0.939173773966872 617.24899832253 659.720917260724 0.223867378877098
"2023-03-27 17:00:00" 693 3518 0 3615 13.3 20.5 0 0 1001.4 154.121 0.994814192723388 0.94561974266222 651.916147057431 659.83922303306 0.223711556561288
"2023-03-27 18:00:00" 741 3411 0 3616 13.2 18.4 0 0 1003 153.37 0.999685454761174 0.957188675289789 709.053708746645 660.350567931082 0.223039527163585
"2023-03-27 19:00:00" 660 3413 0 3611 12.7 16 0 0 1003.7 152.835 1.00318486077614 0.962294488463148 637.137113206802 663.466891530087 0.218994907980364
"2023-03-27 20:00:00" 656 3350 0 3612 13.2 15 0 0 1004.4 152.462 1.00563916383572 0.967427536944271 638.211260676731 664.741021501372 0.217366039394018
"2023-03-27 21:00:00" 752 3338 0 3615 12.5 14.3 0 0 1005.4 152.866 1.00298142292414 0.974807996446578 735.241162138071 666.647379097776 0.214955227462087
"2023-03-27 22:00:00" 672 3538 0 3616 12.9 14 0 0 1007.2 153.354 0.999789755707196 0.988235001153996 663.954298818756 667.343616775654 0.214082512382884
"2023-03-27 23:00:00" 648 3540 0 3617 12.5 13.3 0 0 1008.6 152.818 1.00329645851092 0.998805959336163 649.359816168538 666.226182361241 0.215485191289249
