neutrons,muons,gamma,integration_time.s.,V_in.Volt.,temperature_in..C.,temperature_ext..C.,ur...,pressure.hPa.,N_jung,fi,fp,Nc,Nc_SGF,SM
724,3567,0,3613,13.9,28.2,0,0,1002.8,153.504,0.9988143603338459,0.9557219419256533,691.1222912590005,669.8182603187903,0.21101363972188505
746,3631,0,3619,14.3,27.7,0,0,1002.4,154.042,0.9953259472655942,0.9528209589504651,707.4820979622451,667.748687513495,0.21357665792057887
678,3549,0,3619,14,27.2,0,0,1001.1,153.797,0.9969115104240438,0.9434534396217927,637.6858443985059,664.688358257244,0.2174330839787947
730,3364,0,3610,13.4,26,0,0,1000.7,154.309,0.9936037403436395,0.9405896962607153,682.2386114433342,665.4502178712991,0.21646551887496002
704,3523,0,3616,13.3,26.4,0,0,999.4,154.586,0.9918233188560843,0.9313424267949194,650.3039042615926,666.2476118875692,0.21545819130956623
771,3597,0,3619,13.1,24.5,0,0,998.3,153.922,0.9961019189504208,0.9235888591773143,709.3112375447173,662.8760617991397,0.2197550771634952
745,3521,0,3618,13,22.3,0,0,997.4,154.26,0.9939193541338434,0.9172930675339751,679.2279232599413,662.8895607563292,0.21973767476009062
761,3447,0,3613,13.1,20.3,0,0,996.7,154.352,0.9933269382235842,0.9124260262236541,689.7227240990173,663.5565523585062,0.21887981844384052
707,3616,0,3618,13.1,16,0,0,997,153.835,0.9966652554274817,0.914508730944598,644.4015680877148,660.3335787029232,0.22306181678769252
693,3348,0,3611,12.6,14.7,0,0,998.6,154.163,0.9945447323202496,0.9256970441938923,638.0084534860304,661.9899738317134,0.22090093569856026
674,3481,0,3614,12.8,13,0,0,997.1,153.627,0.9980146690925856,0.9152040217571581,615.6228642362411,661.3572608073241,0.221723433103632
733,3330,0,3617,12.7,11.7,0,0,996.5,153.716,0.9974368287535887,0.911040192164498,666.0807944223393,661.2776586880833,0.22182716694989107
650,3343,0,3619,12.6,10.6,0,0,996.2,152.905,1.0027271807245457,0.9089653867033946,592.4387947304393,661.4666178521128,0.22158101702500452
706,3448,0,3619,13.1,9.9,0,0,996.3,151.751,1.010352482479105,0.9096564629730072,648.8660078909655,662.5784729536423,0.22013912945351669
741,3421,0,3611,12.6,9.3,0,0,996.3,151.817,1.0099132479807047,0.9096564629730072,680.7375177831726,661.0929923955963,0.22206803561234162
723,3445,0,3610,12.7,9.5,0,0,996.1,152.053,1.0083457713342496,0.9082748354522138,662.1632297356496,661.6858361197455,0.22129585208960756
689,3314,0,3610,12.8,9.5,0,0,995.8,151.761,1.010285907240244,0.906206327822158,630.7984351329039,662.8449020222,0.2197952534721547
768,3422,0,3623,12.7,8.5,0,0,996.4,153.221,1.0006591757571526,0.9103480646602189,699.6081746188905,661.5734967632477,0.2214419321666467
683,3555,0,3611,12.3,7.9,0,0,997.1,152.866,1.0029830019015782,0.9152040217571581,626.9489746554696,660.5267546856401,0.22280852742788612
755,3501,0,3613,12.7,12.3,0,0,997.5,152.909,1.002700950033593,0.9179904752466634,694.9547908469723,660.1804510564742,0.22326283666227506
716,3478,0,3611,12.8,20.2,0,0,997.7,153.158,1.0010707868259359,0.919386881769141,658.9858859771356,659.2565800589908,0.2244802048837294
727,3503,0,3615,13.4,19.4,0,0,998.2,154.423,0.9928702302680732,0.9228871983092433,666.155352645341,658.1424801743785,0.2259586899279178
724,3330,0,3610,14.1,23.6,0,0,998.8,154.405,0.9929859756399512,0.9271051736083096,666.5161631834766,656.6927785415998,0.22789986617779992
680,3449,0,3611,14.2,24.9,0,0,999.4,153.645,0.9978977485026305,0.9313424267949194,631.9814673328657,654.6241605289524,0.23070426447565043
717,3425,0,3619,13.9,25.7,0,0,999.6,154.079,0.9950869331231813,0.9327591437157425,665.502504370158,656.9419755016047,0.22756478117774087
718,3564,0,3616,13.4,24.4,0,0,1000,154.072,0.9951321432102307,0.9355990459769723,668.4900829745113,658.0096196149549,0.226135773481503
716,3451,0,3620,13.2,24.6,0,0,1000.2,153.684,0.9976445145147619,0.937022237878691,669.327608448184,659.0528058631173,0.22474976928292206
760,3521,0,3612,13,25,0,0,1000.3,153.696,0.9975666222197498,0.9377346454600686,710.9441149356268,660.1397669356656,0.22331628107967758
660,3467,0,3610,14,25.3,0,0,1000.5,153.969,0.9957978526111534,0.9391610859412965,617.2416311399593,659.7130431540729,0.22387775453001157
693,3518,0,3615,13.3,20.5,0,0,1001.4,154.121,0.9948157588432898,0.9456069675530635,651.9083661047055,659.8313475143686,0.2237219255459299
741,3411,0,3616,13.2,18.4,0,0,1003,153.37,0.9996870285498249,0.9571757438869659,709.0452458278899,660.3426863092276,0.22304986741199764
660,3413,0,3611,12.7,16,0,0,1003.7,152.835,1.0031864400738486,0.9622814880819412,637.1295086494063,663.4589727133164,0.21900507605591138
656,3350,0,3612,13.2,15,0,0,1004.4,152.462,1.005640746997197,0.9674144672167386,638.2036432988351,664.7330874772081,0.217376138507465
752,3338,0,3615,12.5,14.3,0,0,1005.4,152.866,1.0029830019015782,0.9747948270107053,735.2323866586618,666.6394223202595,0.21496522490440892
672,3538,0,3616,12.9,14,0,0,1007.2,153.354,0.9997913296600457,0.9882216503223219,663.9463741845304,667.3356516881846,0.2140924731368587
648,3540,0,3617,12.5,13.3,0,0,1008.6,152.818,1.0032980379843124,0.998792465693231,649.3520657269289,666.2182306109221,0.21549521104114977
636,3444,0,3619,12.9,12,0,0,1010.3,152.599,1.0047379050235368,1.0117805869420635,646.5412594222274,665.6034065678847,0.21627157488601687
669,3518,0,3619,12.6,9.9,0,0,1012.1,152.708,1.0040207426505925,1.0257168520868576,688.9636260440066,664.7214901958943,0.21739090151700785
572,3298,0,3619,12.5,8.7,0,0,1013.5,152.515,1.0052912799966343,1.036688746360479,596.1236176820679,663.0601492872963,0.2195178968319726
658,3455,0,3611,12.6,7.1,0,0,1014.1,153.596,0.9982160965694853,1.0414268416910681,684.0364261983088,663.9906257779226,0.21832363685696635
619,3284,0,3612,12.3,5.8,0,0,1014.1,153.407,0.9994459155624362,1.0414268416910681,644.2860282335548,665.6728345298818,0.21618374249994135
610,3469,0,3613,12.7,4.3,0,0,1014.5,153.34,0.9998826109866092,1.0445975963950553,637.1297329894328,666.0890520455114,0.21565806081118405
630,3344,0,3614,12.8,4.1,0,0,1015.4,154.228,0.9941255775130758,1.051767135826675,658.7208251271692,667.7967359711637,0.2135167466710446
651,3408,0,3615,12.4,10.8,0,0,1016.3,154.711,0.9910219672078046,1.058985883006655,683.2103557376796,668.657762134987,0.2124464297680023
625,3281,0,3612,12.7,17.7,0,0,1017,154.489,0.9924460613291992,1.0646347004356942,660.3703220011229,668.2619142392018,0.21293772429833435
645,3274,0,3617,14.2,21.7,0,0,1017.7,155.051,0.9888488276030898,1.0703136496529457,682.6540664693503,669.0703164675098,0.21193579391263392
654,3301,0,3618,14.1,24.3,0,0,1018.4,155.359,0.9868884298218105,1.0760228913866798,694.4921102933329,669.8593790179044,0.2109630779955839
653,3302,0,3611,14.1,26.7,0,0,1019,154.874,0.9899789478459049,1.0809407599901395,698.7809133569906,670.4903086476603,0.2101890003286795
676,3456,0,3615,13.8,26,0,0,1018.9,155.102,0.9885236784096056,1.0801195571091688,721.7812602158198,671.2258310633302,0.20929072033946008
588,3326,0,3613,13.4,24.3,0,0,1018.9,154.88,0.9899405963887311,1.0801195571091688,628.7214687390402,672.0485623949279,0.20829115190336236
609,3364,0,3615,13.2,24.2,0,0,1018.6,155.216,0.987797646948038,1.077659689833269,648.2864108492859,672.42151158664694,0.20783984474482067
623,3438,0,3613,14.2,26.9,0,0,1018.2,154.574,0.9919003167976933,1.0743885789838585,663.9226096674796,673.53413831079,0.20650008445502013
649,3510,0,3613,14.2,27.1,0,0,1017.9,154.968,0.9893784495424002,1.0719417634534398,688.3008958715266,675.9152342466996,0.2036658676772866
641,3470,0,3610,14.1,26,0,0,1017.4,155.411,0.9865582202590979,1.06787611437789,675.3075756278832,678.3622960702226,0.20079903540413901
666,3405,0,3610,13.3,21.1,0,0,1017.5,154.592,0.9917848243679275,1.0686880087055828,705.8990936461056,678.261829067355,0.200915834744004
624,3358,0,3618,12.7,16.8,0,0,1017.9,154.169,0.9945060263002721,1.0719417634534398,665.2167872047693,679.2700359446235,0.19974719217547948
590,3520,0,3611,12.7,14,0,0,1018.3,152.861,1.0030158089289398,1.075205424665927,636.2843428837867,680.5820469843707,0.1982378359450535
621,3317,0,3614,12.7,11.4,0,0,1018.5,152.338,1.0064593178897365,1.0768409796182847,673.0377120876697,680.7990471801505,0.19798943190913976
619,3331,0,3617,13.1,9,0,0,1018.4,152.928,1.0025763729904704,1.0760228913866798,667.7741840470281,680.7476761745733,0.19804820567887804
616,3234,0,3619,13.1,8.3,0,0,1018.3,152.688,1.0041522553749258,1.075205424665927,665.0766905365017,682.3657091096821,0.19620635229132707
671,3258,0,3610,12.8,7.3,0,0,1018.4,153.363,0.9997326576076803,1.0760228913866798,721.8183358761655,683.478879727252,0.1949503092328971
633,3283,0,3611,12.6,6.2,0,0,1017.9,152.466,1.0056143636527926,1.0719417634534398,682.3487017296767,683.6867137917075,0.19471679413449586
690,3214,0,3612,12.4,7.2,0,0,1018.4,152.505,1.0053571985750414,1.0760228913866798,746.4332781841185,685.253226615694,0.19296668456051297
653,3370,0,3614,13.2,9.8,0,0,1018.2,153.034,1.001881931915043,1.0743885789838585,702.8960598562933,686.0261535098408,0.19210960295288487
621,3445,0,3611,12.9,10.2,0,0,1017.5,153.076,1.0016070420489604,1.0686880087055828,664.7217753044041,685.8471624586551,0.1923077065775438
623,3338,0,3610,12.8,9.2,0,0,1017.8,152.805,1.003383394317507,1.0711273972115851,669.5701493382768,686.9882584775071,0.19104862245417398
650,3370,0,3611,12.5,8.8,0,0,1017.7,153.072,1.0016332155370458,1.0703136496529457,696.8401066477962,685.5326508599902,0.19265634946887963
572,3372,0,3610,12.7,10.7,0,0,1018,153.195,1.0008290059642069,1.072756748848887,614.1255523785244,684.408483575147,0.1939082518877463
657,3342,0,3611,12.8,19.9,0,0,1018.3,152.766,1.0036395504803861,1.075205424665927,708.9809787293599,683.3254444249296,0.195122903832159
632,3175,0,3615,13.2,23.6,0,0,1018.6,153.003,1.0020849236203648,1.077659689833269,682.5009256804007,682.1564197111102,0.19644351033133756
660,3458,0,3616,13.9,27.4,0,0,1018.9,153.334,0.9999217366577972,1.0801195571091688,712.8231154061496,679.9478227968367,0.1989658506246808
632,3322,0,3615,14.3,28.7,0,0,1018.6,152.728,1.0038892643699038,1.077659689833269,683.7298277452618,679.3163911040939,0.19969364491301253
652,3212,0,3618,13.9,27.9,0,0,1018.5,154.218,0.9941900398700974,1.0768409796182847,698.0211438522181,678.933404482968,0.20013653794866756
652,3480,0,3610,13.9,25.8,0,0,1018.2,153.751,0.997209771440099,1.0743885789838585,698.5467946146978,678.3832835247143,0.20077464581329255
618,3381,0,3612,14.1,25.4,0,0,1017.4,153.967,0.9958107878226286,1.06787611437789,657.1827788389695,678.7886000449273,0.20030428064806155
659,3374,0,3615,14.1,25.9,0,0,1016.9,153.091,1.0015089036500295,1.0638258854519878,702.1190924047243,677.3681652200131,0.20195815862193603
644,3323,0,3615,14.3,25.4,0,0,1016.5,153.564,0.9984241070087173,1.060596765509379,681.9479437540231,676.1504148319285,0.20338834037601716
600,3500,0,3613,14.1,24,0,0,1016.2,153.187,1.0008812730106775,1.0581813594932303,635.4683436994522,674.2481659303578,0.2056454901818447
634,3392,0,3617,12.9,20.2,0,0,1016.3,152.697,1.0040930703857094,1.058985883006655,674.1451252079156,674.3329582356014,0.2055442734281599
626,3348,0,3612,13.2,17.2,0,0,1016.3,153.074,1.0016201286220172,1.058985883006655,663.9991867926124,672.5012603963372,0.2077434858047923
610,3387,0,3610,13.3,15.5,0,0,1016.8,152.982,1.0022224808715186,1.0630176849341422,649.8819350570465,671.0594981786566,0.20949347300227264
652,3308,0,3614,12.9,14.3,0,0,1017.2,152.751,1.0037381069105058,1.0662541756697317,697.7964459474473,668.8276672322221,0.21223595916654103
620,3477,0,3614,13.1,14.7,0,0,1017.5,152.981,1.0022290321588083,1.0686880087055828,664.0634921597266,666.7063487830075,0.21488115072154648
620,3336,0,3616,13,15,0,0,1017.5,152.771,1.003606702637848,1.0686880087055828,664.9763181106829,665.2375798431922,0.21673506432337275
659,3368,0,3615,12.7,15,0,0,1017.8,152.408,1.005997057691766,1.0711273972115851,710.1061155952023,663.874962832282,0.2184716749991669
616,3446,0,3615,12.7,15,0,0,1017.7,152.449,1.0057265024282656,1.0703136496529457,663.0887668738804,662.6648658156134,0.22002755442309338
628,3289,0,3617,12.8,14.8,0,0,1017.3,152.338,1.0064593178897365,1.0670648368554707,674.4452144470871,663.5233177406826,0.21892247047465832
575,3255,0,3617,13.2,14.8,0,0,1017.2,153.039,1.0018491990191172,1.0662541756697317,614.229887811168,663.1468778326987,0.21940625876531125
633,3335,0,3616,12.7,14.6,0,0,1017,152.744,1.003784106535685,1.0646347004356942,676.4639268598411,662.8560154029641,0.21978092328647905
570,3469,0,3617,12.9,14.5,0,0,1016.5,153.752,0.9972032856072549,1.060596765509379,602.8494301841167,662.0089403043614,0.22087633557269534
592,3161,0,3617,12.6,14.7,0,0,1016.4,153.239,1.0005416347580358,1.0597910181903563,627.7361024025008,659.6750841912024,0.22392778074760317
633,3336,0,3617,12.7,17.1,0,0,1016.5,153.803,0.9968726199663639,1.060596765509379,669.2581617366308,658.0878686774936,0.22603145909942698
604,3518,0,3616,13.3,20.3,0,0,1016.6,153.418,0.9993742557502161,1.0614031254291232,640.6863309501166,657.6782569668835,0.22657814876473012
612,3182,0,3612,13.6,25.6,0,0,1016.7,153.288,1.0002218018937337,1.062210098415342,650.2167675595487,654.7090445290181,0.23058838087572645
635,3291,0,3611,14.2,26.7,0,0,1017.1,153.706,0.9975017212645354,1.0654441303524333,674.8667947504701,654.2507358957088,0.2312148914159249
651,3257,0,3611,14,27.5,0,0,1016.7,154.001,0.9955909349204658,1.062210098415342,688.449910971102,654.0070109640999,0.2315488942086484
622,3445,0,3611,13.9,27.3,0,0,1016.5,154.077,0.9950998498717308,1.060596765509379,656.4586022866181,653.9558807550469,0.2316190367723337
627,3345,0,3610,14.2,27.3,0,0,1016,153.953,0.99590134371325445,1.056574145618787,659.7567443192299,653.6923349617883,0.23198098381358775
645,3420,0,3618,14.2,26.9,0,0,1015.1,154.187,0.994389926314713,1.0493718384336612,673.0476863874253,653.9144872469245,0.2316758407584373
649,3364,0,3620,14.3,27.7,0,0,1014.2,154.557,0.9920094176820634,1.0422186269310334,670.9950598863159,655.3364183415243,0.229734043486138
619,3574,0,3620,14.3,27.3,0,0,1013.4,154.314,0.9935715461246981,1.0359011622331225,637.1007481038555,656.0436376837174,0.22877550005876413
625,3448,0,3619,14.2,26.1,0,0,1012.3,154.658,0.9913615821275762,1.0272771272107182,636.5019238219306,656.7102936794404,0.22787629512024188
658,3413,0,3633,13.2,22,0,0,1011.9,154.527,0.9922020072135399,1.0241589467796675,668.6415462569231,657.5676708800426,0.2267260117237531
609,3542,0,3612,13.3,19.7,0,0,1012.5,154.585,0.9918297348946318,1.0288397757561114,621.444234160677,657.0595265089962,0.2274069184894704
655,3313,0,3619,13.1,18.4,0,0,1012.7,154.231,0.9941062404360127,1.0304048013333802,670.9373572833867,658.8696992368608,0.22499232008531342
678,3375,0,3611,12.6,17.5,0,0,1012.3,153.689,0.9976120579136222,1.0272771272107182,694.8307051706607,659.5620805355172,0.22407678674762668
670,3500,0,3612,13,17,0,0,1012.7,153.805,0.9968596571547522,1.0304048013333802,688.2032145818287,659.9805154445103,0.22352562595382658
634,3189,0,3614,12.8,16.3,0,0,1013,154.065,0.9951773574055539,1.0327568045451938,651.6101029319904,661.6048944959985,0.22140109282711792
641,3332,0,3614,12.7,14.8,0,0,1012.9,153.609,0.9981316170841985,1.0319722075583595,660.2582606106686,662.3043544203953,0.2204935888889189
631,3492,0,3614,12.8,13.2,0,0,1012.7,153.781,0.9970152331477014,1.0304048013333802,648.2447777231218,663.2770782233385,0.21923878801359786
623,3390,0,3617,12.7,13,0,0,1012,154.411,0.9929473908509541,1.0249376034312683,634.0327812068431,663.9480997592979,0.21837805269132785
609,3368,0,3618,12.9,12.2,0,0,1011.5,154.566,0.9919516554008427,1.0210502312232284,616.8149724695604,664.4001409666259,0.21780043574671262
610,3324,0,3618,12.7,11.4,0,0,1010.6,153.967,0.9958107878226286,1.0140900785001965,616.003522396579,665.1132963228857,0.21689279041043708
675,3218,0,3620,12.8,10.4,0,0,1010.4,153.325,0.999980430906158,1.0125498324644118,683.4577620026614,663.7504993769421,0.2186311081144663
672,3291,0,3620,12.7,10.9,0,0,1009.8,154.286,0.9937518606269309,1.0079431165232344,673.1056734871202,665.7338578706144,0.21610657697332314
692,3487,0,3610,12.5,13.1,0,0,1009.7,154.248,0.9939966778738568,1.0071773707749196,692.7826247213571,663.8675455410804,0.21848117246654264
674,3275,0,3619,13.2,16.8,0,0,1009.6,153.686,0.9976315316208806,1.0064122067722816,676.7152435655385,662.490812904639,0.22025240886897945
672,3444,0,3618,13.2,19.7,0,0,1008.8,153.998,0.9956103298009499,1.0003117846309573,669.2587411777372,662.6950377579717,0.21998860345637677
680,3456,0,3612,13.8,21.8,0,0,1008.3,154.423,0.9928702302680732,0.9965178129609442,672.8007518861232,661.220861390858,0.2219012175001354
692,3544,0,3617,13.7,24.4,0,0,1007.8,153.9,0.9962443116873727,0.9927382310254659,684.394792432364,660.9612685048041,0.22224003720955937
